Feature,VIF
max_temperature,35.71030252965205
humidity,28.41942195101472
wind_speed_10m_max (km/h),9.461110858394727
precipitation_sum (mm),1.491659512062781
doy_sin,1.303686838080535
doy_cos,2.884052468643503
pm25_lag_1,5.499912830034202
