Feature,VIF
max_temperature,27.816280301531318
humidity,19.735457231314406
wind_speed_10m_max (km/h),10.405223543626603
precipitation_sum (mm),1.8257003819129507
doy_sin,1.5687980473613043
doy_cos,3.8372233122750834
pm25_lag_1,6.134324083592191
