Feature,VIF
max_temperature,16.948518645714813
humidity,6.258847110245039
wind_speed_10m_max (km/h),8.187411499538964
precipitation_sum (mm),1.2979348427251765
doy_sin,1.1265913890528658
doy_cos,2.383556602065657
pm25_lag_1,8.696577877546705
