time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-07-12,81.0,80.0,72,17.1,0.0,68.4,2022-07-12,,LA,,,
2022-07-13,82.6,81.9,71,19.8,0.0,68.8,2022-07-13,,LA,,,
2022-07-14,84.0,82.0,70,18.6,0.0,70.1,2022-07-14,,LA,,,
2022-07-15,91.1,87.4,70,18.8,0.0,72.5,2022-07-15,,LA,,,
2022-07-16,96.1,92.7,66,19.9,0.0,74.5,2022-07-16,,LA,,,
2022-07-17,94.8,92.6,64,19.5,0.0,75.2,2022-07-17,,LA,,,
2022-07-18,93.6,90.8,63,20.4,0.0,75.6,2022-07-18,,LA,,,
2022-07-19,89.1,91.0,59,18.0,0.0,75.6,2022-07-19,,LA,,,
2022-07-20,92.6,91.8,58,21.7,0.0,75.2,2022-07-20,,LA,,,
2022-07-21,92.4,90.8,56,17.8,0.0,74.8,2022-07-21,,LA,,,
2022-07-22,91.3,88.3,64,16.1,0.0,72.7,2022-07-22,,LA,,,
2022-07-23,89.3,85.6,72,19.2,0.0,71.2,2022-07-23,,LA,,,
2022-07-24,87.8,84.2,73,18.7,0.0,71.1,2022-07-24,,LA,,,
2022-07-25,89.6,85.6,73,19.6,0.0,71.7,2022-07-25,,LA,,,
2022-07-26,86.9,83.5,72,17.3,0.0,71.2,2022-07-26,,LA,,,
2022-07-27,85.6,83.6,71,17.4,0.0,70.6,2022-07-27,,LA,,,
2022-07-28,87.3,87.0,62,16.0,0.0,73.0,2022-07-28,,LA,,,
2022-07-29,89.8,87.0,64,17.4,0.0,74.3,2022-07-29,,LA,,,
2022-07-30,91.2,89.1,63,19.9,0.0,75.3,2022-07-30,,LA,,,
2022-07-31,90.5,89.0,53,19.4,1.4,76.9,2022-07-31,,LA,,,
2022-08-01,89.3,87.2,65,19.5,0.0,75.4,2022-08-01,,LA,,,
2022-08-02,87.1,85.3,70,21.5,0.0,73.3,2022-08-02,,LA,,,
2022-08-03,91.6,89.9,65,17.6,0.0,73.9,2022-08-03,11.814285714285717,LA,,,
2022-08-04,89.6,87.2,67,19.2,0.0,74.9,2022-08-04,19.408333333333335,LA,11.814285714285717,,
2022-08-05,91.6,89.2,60,21.6,0.0,76.4,2022-08-05,24.995833333333337,LA,19.408333333333335,,
2022-08-06,94.0,92.1,63,23.2,0.0,76.2,2022-08-06,28.683333333333337,LA,24.995833333333337,18.739484126984127,
2022-08-07,98.3,97.3,56,19.5,0.0,78.5,2022-08-07,30.008333333333336,LA,28.683333333333337,24.3625,
2022-08-08,95.5,93.3,59,15.1,0.0,78.1,2022-08-08,55.86666666666667,LA,30.008333333333336,27.89583333333334,
2022-08-09,94.6,93.5,50,17.6,0.0,79.5,2022-08-09,50.35833333333333,LA,55.86666666666667,38.18611111111111,
2022-08-10,96.8,94.6,50,20.0,0.0,80.1,2022-08-10,59.75,LA,50.35833333333333,45.41111111111112,31.59073129251701
2022-08-11,93.1,93.9,52,21.3,0.0,77.8,2022-08-11,38.44583333333333,LA,59.75,55.324999999999996,38.43869047619047
2022-08-12,93.0,93.4,56,20.7,0.0,77.3,2022-08-12,53.5875,LA,38.44583333333333,49.51805555555555,41.15833333333334
2022-08-13,96.3,94.5,53,18.4,0.0,79.3,2022-08-13,68.31666666666666,LA,53.5875,50.59444444444444,45.24285714285714
2022-08-14,95.6,93.7,57,20.4,0.0,77.5,2022-08-14,71.75416666666666,LA,68.31666666666666,53.449999999999996,50.904761904761905
2022-08-15,95.0,91.8,60,17.6,0.0,76.5,2022-08-15,65.16250000000001,LA,71.75416666666666,64.55277777777778,56.86845238095238
2022-08-16,94.2,92.3,58,19.9,0.0,76.7,2022-08-16,47.3625,LA,65.16250000000001,68.41111111111111,58.19642857142857
2022-08-17,91.8,90.8,59,18.2,0.0,76.5,2022-08-17,44.30833333333334,LA,47.3625,61.42638888888889,57.76845238095238
2022-08-18,89.4,87.6,59,19.4,0.0,73.6,2022-08-18,33.9375,LA,44.30833333333334,52.27777777777778,55.5625
2022-08-19,91.2,88.9,61,18.8,0.0,73.8,2022-08-19,38.704166666666666,LA,33.9375,41.86944444444445,54.91845238095238
2022-08-20,89.0,85.8,72,16.6,0.0,73.9,2022-08-20,23.97083333333333,LA,38.704166666666666,38.983333333333334,52.79226190476191
2022-08-21,88.6,84.1,74,15.3,0.0,72.9,2022-08-21,15.983333333333334,LA,23.97083333333333,32.204166666666666,46.45714285714286
2022-08-22,89.9,86.2,73,16.6,0.0,72.5,2022-08-22,28.520833333333332,LA,15.983333333333334,26.219444444444445,38.48988095238095
2022-08-23,92.7,89.8,72,18.3,0.0,73.2,2022-08-23,39.31666666666667,LA,28.520833333333332,22.825,33.25535714285714
2022-08-24,94.1,90.0,69,17.3,0.0,76.0,2022-08-24,36.325,LA,39.31666666666667,27.94027777777778,32.10595238095238
2022-08-25,93.6,90.7,64,16.5,0.0,76.5,2022-08-25,33.795833333333334,LA,36.325,34.72083333333334,30.965476190476192
2022-08-26,89.2,86.0,72,18.6,0.0,73.4,2022-08-26,45.525,LA,33.795833333333334,36.47916666666667,30.945238095238096
2022-08-27,87.0,83.3,72,16.6,0.0,72.3,2022-08-27,28.0875,LA,45.525,38.548611111111114,31.919642857142858
2022-08-28,85.7,82.9,71,16.8,0.0,72.1,2022-08-28,18.408333333333335,LA,28.0875,35.80277777777778,32.507738095238096
2022-08-29,85.6,83.8,71,19.7,0.0,71.6,2022-08-29,20.35,LA,18.408333333333335,30.67361111111111,32.854166666666664
2022-08-30,91.7,93.1,57,18.7,0.0,75.9,2022-08-30,21.945833333333336,LA,20.35,22.281944444444445,31.686904761904763
2022-08-31,99.8,103.0,41,18.7,0.0,83.7,2022-08-31,19.879166666666663,LA,21.945833333333336,20.234722222222224,29.205357142857146
2022-09-01,101.4,99.9,41,15.9,0.0,85.1,2022-09-01,32.770833333333336,LA,19.879166666666663,20.724999999999998,26.85595238095238
