time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-07-10,106.8,100.2,64,19.4,2.5,88.3,2022-07-10,,Houston,,,
2022-07-11,108.3,101.4,63,21.0,1.3,89.5,2022-07-11,,Houston,,,
2022-07-12,109.5,98.2,71,23.0,1.2,86.8,2022-07-12,,Houston,,,
2022-07-13,106.5,95.5,69,19.3,2.3,87.2,2022-07-13,,Houston,,,
2022-07-14,97.4,88.5,82,15.0,10.5,80.2,2022-07-14,,Houston,,,
2022-07-15,99.1,92.0,79,19.0,2.7,81.4,2022-07-15,,Houston,,,
2022-07-16,100.9,92.7,76,16.0,8.2,82.4,2022-07-16,,Houston,,,
2022-07-17,104.0,96.6,68,20.5,0.5,86.0,2022-07-17,,Houston,,,
2022-07-18,105.4,98.5,65,23.9,0.0,87.3,2022-07-18,,Houston,,,
2022-07-19,104.0,99.0,64,22.5,0.0,88.1,2022-07-19,,Houston,,,
2022-07-20,104.7,99.2,65,22.5,0.6,88.4,2022-07-20,,Houston,,,
2022-07-21,107.5,97.9,68,18.2,0.1,87.5,2022-07-21,,Houston,,,
2022-07-22,103.2,94.0,74,13.3,5.3,85.2,2022-07-22,,Houston,,,
2022-07-23,101.9,90.9,79,16.4,2.1,82.8,2022-07-23,,Houston,,,
2022-07-24,104.7,94.3,77,18.7,0.7,84.1,2022-07-24,,Houston,,,
2022-07-25,103.4,94.1,71,19.8,0.1,85.5,2022-07-25,,Houston,,,
2022-07-26,103.4,94.7,73,20.8,1.0,85.5,2022-07-26,,Houston,,,
2022-07-27,101.2,91.4,74,21.4,2.7,84.0,2022-07-27,,Houston,,,
2022-07-28,101.9,92.8,76,22.7,3.7,83.4,2022-07-28,,Houston,,,
2022-07-29,103.3,92.3,80,21.7,2.1,82.2,2022-07-29,,Houston,,,
2022-07-30,98.9,88.3,82,16.9,13.9,81.5,2022-07-30,,Houston,,,
2022-07-31,101.5,93.9,70,22.3,0.1,85.0,2022-07-31,,Houston,,,
2022-08-01,99.6,91.8,75,18.0,2.7,83.5,2022-08-01,,Houston,,,
2022-08-02,103.2,94.0,75,22.7,5.4,84.4,2022-08-02,,Houston,,,
2022-08-03,104.9,98.9,67,22.1,0.5,87.4,2022-08-03,8.48,Houston,,,
2022-08-04,104.6,98.2,66,18.8,0.2,87.6,2022-08-04,10.654166666666669,Houston,8.48,,
2022-08-05,99.5,88.7,79,15.5,6.2,82.4,2022-08-05,10.1,Houston,10.654166666666669,,
2022-08-06,95.0,85.3,84,19.4,7.6,80.0,2022-08-06,8.345833333333333,Houston,10.1,9.744722222222222,
2022-08-07,100.1,90.2,79,21.6,2.0,82.8,2022-08-07,10.295833333333333,Houston,8.345833333333333,9.700000000000001,
2022-08-08,99.6,90.0,80,21.4,3.6,82.6,2022-08-08,11.383333333333333,Houston,10.295833333333333,9.580555555555556,
2022-08-09,102.8,92.9,77,19.7,0.3,83.3,2022-08-09,9.475,Houston,11.383333333333333,10.008333333333333,
2022-08-10,107.0,95.4,78,19.4,31.4,83.6,2022-08-10,7.779166666666666,Houston,9.475,10.384722222222221,9.819166666666666
2022-08-11,102.8,93.5,81,15.3,32.7,82.5,2022-08-11,9.45,Houston,7.779166666666666,9.545833333333333,9.719047619047618
2022-08-12,101.0,88.9,84,14.2,38.1,80.1,2022-08-12,9.179166666666667,Houston,9.45,8.901388888888887,9.547023809523807
2022-08-13,99.3,90.8,85,25.5,4.2,80.8,2022-08-13,7.65,Houston,9.179166666666667,8.802777777777777,9.41547619047619
2022-08-14,97.2,89.8,78,20.8,2.3,82.5,2022-08-14,13.304166666666667,Houston,7.65,8.759722222222223,9.31607142857143
2022-08-15,100.1,93.5,71,17.8,0.0,84.9,2022-08-15,11.958333333333334,Houston,13.304166666666667,10.044444444444444,9.745833333333334
2022-08-16,104.7,94.3,71,14.0,1.5,84.7,2022-08-16,8.174999999999999,Houston,11.958333333333334,10.970833333333333,9.82797619047619
2022-08-17,106.9,97.4,71,21.7,0.0,86.0,2022-08-17,6.8374999999999995,Houston,8.174999999999999,11.145833333333334,9.642261904761906
