,Coefficient,Std Error,t Statistic,P-value,CI Lower,CI Upper
const,-2.6054415857795266,2.6684295676769496,-0.9763951116940072,0.32907476149514336,-7.840996941561494,2.6301137700024415
max_temperature,0.187494127340475,0.02946473728467623,6.363339524428251,2.848474128430045e-10,0.12968324675133774,0.24530500792961224
humidity,0.012920423215947115,0.021405189181769695,0.6036117273353109,0.5462212668288722,-0.029077332400178617,0.054918178832072846
wind_speed_10m_max (km/h),-0.22941047321302604,0.02793668235625408,-8.211800896310395,5.823829215561152e-16,-0.28422325474744686,-0.17459769167860523
precipitation_sum (mm),-0.1645933475455253,0.03988454020503945,-4.126745518423421,3.945627781109439e-05,-0.24284825845373623,-0.08633843663731436
doy_sin,0.6607874425220436,0.28936542370681506,2.2835742918323,0.022578906818157718,0.09304201194459893,1.2285328730994882
doy_cos,3.253822777338742,0.5055918290867679,6.435671207772489,1.8029947548861249e-10,2.2618333163168156,4.245812238360668
pm25_lag_1,0.4996602168779253,0.02312091573912484,21.61074511561877,3.758582578516909e-87,0.4542961436811417,0.5450242900747089
