,Coefficient,Std Error,t Statistic,P-value,CI Lower,CI Upper
const,6.260918849839412,1.2996978632828051,4.817211004737246,1.650898337987055e-06,3.710864618903658,8.810973080775167
max_temperature,0.028878393448470856,0.014983348074675983,1.927365853382229,0.05418099157253511,-0.0005194775728010366,0.05827626446974275
humidity,0.007200008264579445,0.010492380765125752,0.6862130174031243,0.49271759716825475,-0.013386422411790683,0.027786438940949575
wind_speed_10m_max (km/h),-0.18388767668698766,0.017387873769164976,-10.575627539526275,5.25565022452949e-25,-0.21800331411678306,-0.14977203925719226
precipitation_sum (mm),-0.008360596742471653,0.011582235963564017,-0.7218465215846785,0.47053609744100455,-0.03108536274922779,0.014364169264284481
doy_sin,0.6579128076417717,0.17878702402550564,3.6798688899699696,0.0002441993227667482,0.3071261979745919,1.0086994173089516
doy_cos,-0.26711913512435737,0.2637380199825969,-1.0128199762096628,0.3113599431389873,-0.7845826723933252,0.2503444021446105
pm25_lag_1,0.5214829757959565,0.023602425963406455,22.094465060687885,2.1276863200245954e-90,0.47517416211805313,0.5677917894738598
