,Coefficient,Std Error,t Statistic,P-value,CI Lower,CI Upper
const,2.5887367663982936,1.7087208025068987,1.5150144848709666,0.13004448846314315,-0.763835269778494,5.941308802575081
max_temperature,0.05774236038869892,0.01577286099279706,3.6608678929629783,0.00026281601800171505,0.026795436457431585,0.08868928431996626
humidity,0.01795293593732167,0.010176372742155628,1.7641782973368916,0.07796834933383433,-0.0020134755647849834,0.037919347439428326
wind_speed_10m_max (km/h),-0.25275184076474505,0.019496818788052983,-12.963747753537268,5.791642777676282e-36,-0.2910053046234018,-0.21449837690608828
precipitation_sum (mm),0.006961370138558052,0.0190711077209701,0.36502180368387876,0.715162482633731,-0.03045683320422091,0.04437957348133702
doy_sin,0.5951775405715471,0.17137783045918606,3.4728969259141707,0.0005340768621169413,0.258928036746715,0.9314270443963792
doy_cos,1.5767140154608725,0.30778656277684613,5.122751302837202,3.5304896003582625e-07,0.9728256435497102,2.180602387372035
pm25_lag_1,0.5467484533968078,0.021900093756689623,24.965575922696562,3.3378885243067915e-110,0.5037796770990012,0.5897172296946144
