,Coefficient,Std Error,t Statistic,P-value,CI Lower,CI Upper
const,2.0809549834272456,1.804736861574344,1.153051742741014,0.24912958755867004,-1.4600040345087324,5.621914001363224
max_temperature,0.10930239602958869,0.022382457328594774,4.883395706956139,1.1904824451835646e-06,0.06538720495175074,0.15321758710742664
humidity,0.08162309833362885,0.015499502741026265,5.266175289454761,1.6625170227313996e-07,0.0512125131824597,0.112033683484798
wind_speed_10m_max (km/h),-0.3238319053420025,0.027591054831789107,-11.736843963243432,4.042545077860313e-30,-0.377966553168591,-0.269697257515414
precipitation_sum (mm),-0.061013272917847444,0.020517886112906673,-2.9736627146725096,0.003004244309951932,-0.1012701078101664,-0.02075643802552849
doy_sin,1.7385026467708828,0.303553552569574,5.7271694963030315,1.3037326100678282e-08,1.1429195940370436,2.334085699504722
doy_cos,1.3416987150128765,0.5269125527602089,2.546340389851115,0.0110158592741002,0.30787722275813434,2.375520207267619
pm25_lag_1,0.4392199345725047,0.024649385275074535,17.818697288838436,6.9896789401833e-63,0.3908569488460351,0.48758292029897427
