,Coefficient,Std Error,t Statistic,P-value,CI Lower,CI Upper
const,6.1751340229256,1.6256595084299537,3.7985408327537695,0.0001531902005705136,2.9855312508921847,9.364736794959015
max_temperature,0.00011469195226699799,0.016720657833520156,0.006859296650223492,0.99452830983853,-0.032691843671866186,0.03292122757640019
humidity,0.03487472834684139,0.007436933008127976,4.6893965978617915,3.069479795268325e-06,0.020283196716050403,0.049466259977632376
wind_speed_10m_max (km/h),-0.14991054841489757,0.015300014189101888,-9.798065973146482,8.025291690934577e-22,-0.17992972980967897,-0.11989136702011616
precipitation_sum (mm),-0.18554779307099561,0.03192704766863392,-5.811617628938591,8.011673098066109e-09,-0.24818981572004872,-0.12290577042194249
doy_sin,0.1819409051858778,0.1839215492351115,0.9892310386821405,0.32275892817253693,-0.17891982871009032,0.542801639081846
doy_cos,0.2463442252538286,0.35247549009022716,0.698897461468226,0.4847579239090437,-0.4452254388952289,0.9379138894028861
pm25_lag_1,0.6097755085842139,0.021547076884197033,28.299685932407513,4.86438624685234e-134,0.5674993641624171,0.6520516530060108
