,Coefficient,Std Error,t Statistic,P-value,CI Lower,CI Upper
const,-16.420545345310178,4.315191321624539,-3.805287905317797,0.0001491247066013217,-24.88710684231213,-7.953983848308226
max_temperature,0.33360669865779874,0.045947205723058306,7.260652599171671,7.093976016499391e-13,0.243456618655501,0.4237567786600965
humidity,0.05773299324904468,0.019547625911680133,2.9534529415435538,0.0032065196260717918,0.019379843975625553,0.09608614252246381
wind_speed_10m_max (km/h),-0.2904560868308812,0.05248008840716143,-5.534595989576221,3.8643499606559315e-08,-0.3934239190196186,-0.1874882546421438
precipitation_sum (mm),-0.12111108128620857,0.036695969869501535,-3.300391888180218,0.0009952292505564116,-0.19310990183335885,-0.04911226073905829
doy_sin,1.6443789835730633,0.4709080107173573,3.491932492437536,0.0004977989496919011,0.7204404290553031,2.5683175380908234
doy_cos,4.297418382868107,0.6416731816062035,6.697207404104111,3.32091323319111e-11,3.038432384768595,5.55640438096762
pm25_lag_1,0.6423719768387225,0.020883348010378226,30.76000919581899,5.673610256896898e-152,0.6013980924811231,0.6833458611963219
