,mean_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),pm25
mean_temperature,1.0,0.16772062159978388,-0.09208785716468045,-0.008562690632218591,0.22184844758996283
humidity,0.16772062159978388,1.0,0.07900086347157259,0.41011948181337643,0.0353814892629052
wind_speed_10m_max (km/h),-0.09208785716468045,0.07900086347157259,1.0,0.2296786230796281,-0.32659552340954584
precipitation_sum (mm),-0.008562690632218591,0.41011948181337643,0.2296786230796281,1.0,-0.11099197888907884
pm25,0.22184844758996283,0.0353814892629052,-0.32659552340954584,-0.11099197888907884,1.0
