,mean_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),pm25
mean_temperature,1.0,-0.5009269921987135,-0.04734276194685809,-0.2192227935353436,0.119523434137458
humidity,-0.5009269921987135,1.0,0.10638984449282657,0.4372783481951488,-0.050106152605747065
wind_speed_10m_max (km/h),-0.04734276194685809,0.10638984449282657,1.0,0.5127718580958501,-0.36254372253213923
precipitation_sum (mm),-0.2192227935353436,0.4372783481951488,0.5127718580958501,1.0,-0.27360902881572946
pm25,0.119523434137458,-0.050106152605747065,-0.36254372253213923,-0.27360902881572946,1.0
