,mean_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),pm25
mean_temperature,1.0,-0.8274210961844384,-0.0356830111466958,-0.2528845386759828,-0.18578670443178116
humidity,-0.8274210961844384,1.0,0.012298468921303148,0.3690602165412195,0.2208161926760871
wind_speed_10m_max (km/h),-0.0356830111466958,0.012298468921303148,1.0,0.5480708217328435,-0.3918657383347934
precipitation_sum (mm),-0.2528845386759828,0.3690602165412195,0.5480708217328435,1.0,-0.12517380201632028
pm25,-0.18578670443178116,0.2208161926760871,-0.3918657383347934,-0.12517380201632028,1.0
