,mean_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),pm25
mean_temperature,1.0,-0.5914142117178589,0.3034279761908683,-0.12164483687253956,-0.431658599512134
humidity,-0.5914142117178589,1.0,-0.10484509857591563,0.39729354605881223,0.3198410707737813
wind_speed_10m_max (km/h),0.3034279761908683,-0.10484509857591563,1.0,0.09390576786599708,-0.4039671290686355
precipitation_sum (mm),-0.12164483687253956,0.39729354605881223,0.09390576786599708,1.0,-0.04854237878539772
pm25,-0.431658599512134,0.3198410707737813,-0.4039671290686355,-0.04854237878539772,1.0
