,mean_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),pm25
mean_temperature,1.0,-0.17096141134203205,0.18562593746975412,-0.1842517006284174,0.0766117075253712
humidity,-0.17096141134203205,1.0,0.1624625175908497,0.2793022637676044,-0.09682654853131897
wind_speed_10m_max (km/h),0.18562593746975412,0.1624625175908497,1.0,0.27933889655573335,-0.2701012447034684
precipitation_sum (mm),-0.1842517006284174,0.2793022637676044,0.27933889655573335,1.0,-0.1517446277385736
pm25,0.0766117075253712,-0.09682654853131897,-0.2701012447034684,-0.1517446277385736,1.0
