,mean_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),pm25
mean_temperature,1.0,0.10288634468169233,-0.1346633242968979,0.03601923957965244,0.21987152530173365
humidity,0.10288634468169233,1.0,-0.0734156286539056,0.43843089745733627,0.24707592419796134
wind_speed_10m_max (km/h),-0.1346633242968979,-0.0734156286539056,1.0,0.2609496592815625,-0.3480990622073449
precipitation_sum (mm),0.03601923957965244,0.43843089745733627,0.2609496592815625,1.0,-0.07276212911876273
pm25,0.21987152530173365,0.24707592419796134,-0.3480990622073449,-0.07276212911876273,1.0
