date,City,pm25,AQI,Air_Quality_Risk
2022-08-03,Houston,8.48,35.333333333333336,33.58268799169891
2022-08-04,Houston,10.654166666666669,44.39236111111112,43.05379738207212
2022-08-05,Houston,10.1,42.083333333333336,40.63973538720887
2022-08-06,Houston,8.345833333333333,34.77430555555556,32.99823087715307
2022-08-07,Houston,10.295833333333333,42.89930555555556,41.492824964341
2022-08-08,Houston,11.383333333333333,47.43055555555556,46.23019474373426
2022-08-09,Houston,9.475,39.47916666666667,37.91710907721275
2022-08-10,Houston,7.779166666666666,32.41319444444444,30.529716356089914
2022-08-11,Houston,9.45,39.375,37.808204024812895
2022-08-12,Houston,9.179166666666667,38.246527777777786,36.62839929048125
2022-08-13,Houston,7.65,31.875000000000004,29.967040252024052
2022-08-14,Houston,13.304166666666667,53.53236766809729,52.60956915509778
2022-08-15,Houston,11.958333333333334,49.82638888888889,48.73501094893069
2022-08-16,Houston,8.174999999999999,34.0625,32.254046352420794
2022-08-17,Houston,6.8374999999999995,28.489583333333332,26.42762604902908
2022-08-18,Houston,7.033333333333334,29.30555555555556,27.280715626161207
2022-08-19,Houston,7.520833333333333,31.336805555555557,29.404364147958184
2022-08-20,Houston,9.375,39.0625,37.481488867613365
2022-08-21,Houston,8.841666666666667,36.84027777777778,35.158181083083335
2022-08-22,Houston,8.716666666666667,36.31944444444445,34.613655821084116
2022-08-23,Houston,7.079166666666667,29.49652777777778,27.480374888894254
2022-08-24,Houston,6.845833333333334,28.52430555555556,26.463927733162368
2022-08-25,Houston,10.566666666666666,44.02777777777778,42.67262969867265
2022-08-26,Houston,13.429166666666667,53.79524320457797,52.88440250621842
2022-08-27,Houston,8.4125,35.052083333333336,33.28864435021933
2022-08-28,Houston,7.158333333333332,29.826388888888886,27.825240888160423
2022-08-29,Houston,6.708333333333333,27.95138888888889,25.864949944963218
2022-08-30,Houston,8.254166666666666,34.392361111111114,32.59891235168698
2022-08-31,Houston,9.85,41.04166666666667,39.55068486321043
2022-09-01,Houston,11.8375,49.32291666666667,48.20863652899811
2022-09-02,Houston,9.2125,38.38541666666667,36.773606027014374
2022-09-03,Houston,11.7375,48.90625000000001,47.773016319398735
2022-09-04,Houston,8.233333333333333,34.30555555555556,32.508158141353775
2022-09-05,Houston,9.245833333333334,38.52430555555556,36.9188127635475
2022-09-06,Houston,9.9875,41.614583333333336,40.14966265140957
2022-09-07,Houston,10.829166666666666,45.12152777777778,43.81613274887102
2022-09-08,Houston,17.716666666666665,62.81187410586552,62.31118644965633
2022-09-09,Houston,16.133333333333333,59.48211731044349,58.82996400212824
2022-09-10,Houston,15.391666666666666,57.92238912732475,57.199286118812445
2022-09-11,Houston,15.05,57.20386266094421,56.4480749590827
2022-09-12,Houston,14.295833333333334,55.6178469241774,54.78991374065485
2022-09-13,Houston,17.916666666666668,63.232474964234626,62.75091981144937
2022-09-14,Houston,8.891666666666667,37.048611111111114,35.375991187883024
2022-09-15,Houston,8.054166666666667,33.559027777777786,31.72767193248822
2022-09-16,Houston,6.533333333333334,27.22222222222223,25.102614578164307
2022-09-17,Houston,9.8375,40.989583333333336,39.496232337010504
2022-09-18,Houston,8.104166666666666,33.767361111111114,31.94548203728791
2022-09-19,Houston,5.9875,24.947916666666668,22.72485426743435
2022-09-20,Houston,7.6125,31.71875,29.80368267342428
2022-09-21,Houston,10.9125,45.46875,44.179149590203835
2022-09-22,Houston,13.016666666666666,52.9277539341917,51.9774524475203
2022-09-23,Houston,15.375,57.887339055793994,57.16264167199636
2022-09-24,Houston,11.65,48.54166666666667,47.391848635999274
