Feature,Average Standardized Coefficient,Normalized Weight
pm25_lag_1,3.8133420264530273,0.38544375328781466
max_temperature,1.5946197496443413,0.1611804598449547
wind_speed_10m_max (km/h),1.5040115847569624,0.15202199702928185
doy_cos,1.2795644013118803,0.12933539713820943
doy_sin,0.6515155433855423,0.06585367759457304
humidity,0.5311973134063553,0.053692190418648054
precipitation_sum (mm),0.519130695242532,0.0524725246865183
