City,max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),doy_sin,doy_cos
Houston,0.15179056334126145,0.034225725268562074,0.5093780393752483,0.03655146145046945,0.19177352293245956,0.07628068763199908
LA,0.33651824750835335,0.07997328378569744,0.13233947442711858,0.07949758320289761,0.1043925659230364,0.2672788451528967
NY,0.243872822764541,0.13562023777010246,0.2719343963275547,0.07558623923914119,0.15545190507529769,0.11753439882336307
Phoenix,0.0007689031678534127,0.2564727768022441,0.3910324199567431,0.2349367721076807,0.050199886735610204,0.06658924122986848
Sacramento,0.22936603809091688,0.07320988356086079,0.3421924453190154,0.010085790033784662,0.09599788174445463,0.24914796125096766
Seattle,0.31411343759998955,0.017337045363903784,0.20437476348283568,0.11231608649329637,0.06041366745136926,0.29144499960860537
